City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,longyearbyen,78.2186,15.6401,15.64,67,40,13.8,SJ,1675202732
211,touros,-5.1989,-35.4608,80.02,77,78,13.94,BR,1675202636
212,hirado,33.3597,129.5531,45.39,70,99,14.56,JP,1675202846
213,kavieng,-2.5744,150.7967,82.81,73,100,7.78,PG,1675202847
214,amapa,1.0,-52.0,72.66,96,60,2.04,BR,1675202847
215,bell ville,-32.6259,-62.6887,97.02,23,4,5.48,AR,1675202848
216,chumikan,54.7183,135.315,-17.03,89,48,18.39,RU,1675202848
217,castro,-24.7911,-50.0119,63.79,98,100,1.9,BR,1675202848
218,bathsheba,13.2167,-59.5167,77.61,73,20,9.22,BB,1675202849
219,kruisfontein,-34.0033,24.7314,67.89,95,8,3.18,ZA,1675202849
220,kitimat,54.0524,-128.6534,33.91,29,100,2.82,CA,1675202850
221,yarada,17.65,83.2667,75.78,60,95,8.43,IN,1675202850
222,lingyuan,41.24,119.4011,17.37,33,1,22.1,CN,1675202851
223,sambava,-14.2667,50.1667,77.4,88,12,6.08,MG,1675202851
224,shiloh,38.5614,-89.8973,21.87,55,100,1.01,US,1675202851
225,bail hongal,15.8167,74.8667,68.5,62,33,3.76,IN,1675202852
226,iquique,-20.2208,-70.1431,77.04,81,99,3.67,CL,1675202686
227,surgut,61.25,73.4167,10.58,85,75,8.99,RU,1675202853
228,buala,-8.145,159.5921,83.7,68,83,7.9,SB,1675202670
229,virden,39.5009,-89.7679,20.68,52,85,7.58,US,1675202423
230,puquio,-14.7,-74.1333,52.29,90,98,9.37,PE,1675202853
231,ancud,-41.8697,-73.8203,62.31,58,0,5.28,CL,1675202854
232,nsoko,-27.0333,31.95,71.37,98,100,4.03,SZ,1675202854
233,ndele,8.4109,20.6473,79.21,18,6,3.91,CF,1675202854
234,angoche,-16.2325,39.9086,78.42,85,46,5.79,MZ,1675202855
235,arbazh,57.6804,48.3065,25.97,91,100,12.64,RU,1675202855
236,leningradskiy,69.3833,178.4167,5.05,96,100,6.42,RU,1675202856
237,jiexiu,37.0244,111.9125,30.76,24,97,6.2,CN,1675202856
238,bloemfontein,-29.1211,26.214,63.45,75,100,13.35,ZA,1675202857
239,matay,28.419,30.7792,52.45,51,0,8.16,EG,1675202857
240,manakara,-22.1333,48.0167,75.09,88,100,9.24,MG,1675202857
241,puerto suarez,-18.95,-57.8,82.9,70,98,2.06,BO,1675202858
242,erzin,36.9559,36.2,44.29,89,39,4.72,TR,1675202722
243,constitucion,-35.3333,-72.4167,64.76,59,27,14.2,CL,1675202859
244,barra do garcas,-15.89,-52.2567,76.21,88,94,3.24,BR,1675202859
245,port blair,11.6667,92.75,78.33,74,100,8.16,IN,1675202860
246,ostrovnoy,68.0531,39.5131,21.96,92,94,5.39,RU,1675202860
247,pocoes,-14.5297,-40.3653,66.38,87,38,6.24,BR,1675202861
248,lompoc,34.6391,-120.4579,63.79,57,0,10.0,US,1675202588
249,nouadhibou,20.931,-17.0347,62.47,74,98,21.85,MR,1675202861
250,morondava,-20.2833,44.2833,79.54,85,99,2.8,MG,1675202861
251,olafsvik,64.8945,-23.7142,30.99,78,100,27.69,IS,1675202862
252,vao,-22.6667,167.4833,78.39,76,77,10.25,NC,1675202862
253,freeport,40.6576,-73.5832,38.97,55,100,10.36,US,1675202863
254,asahikawa,43.7678,142.3703,15.01,79,75,12.66,JP,1675202665
255,paamiut,61.994,-49.6678,13.32,66,100,8.55,GL,1675202863
256,santa rosa,14.3122,121.1114,75.18,83,81,10.69,PH,1675202863
257,simao,22.7886,100.9748,50.4,85,4,1.59,CN,1675202864
258,verkhoyansk,67.5447,133.385,-19.43,99,100,2.59,RU,1675202864
259,mareeba,-17.0,145.4333,74.48,97,100,2.01,AU,1675202865
260,lavrentiya,65.5833,-171.0,22.51,97,100,2.3,RU,1675202865
261,mundo nuevo,18.7,-95.5,76.98,79,21,11.52,MX,1675202865
262,port maria,18.3685,-76.8895,85.05,81,15,11.48,JM,1675202866
263,atasu,48.6814,71.6433,-1.01,99,84,3.94,KZ,1675202866
264,guiyang,26.5833,106.7167,43.45,78,4,3.24,CN,1675202867
265,lasa,46.6166,10.7002,32.02,76,56,7.29,IT,1675202867
266,mahibadhoo,3.7833,72.9667,79.57,76,100,7.4,MV,1675202867
267,henties bay,-22.116,14.2845,65.28,81,43,5.41,NA,1675202868
268,nantucket,41.2835,-70.0995,35.15,76,75,9.22,US,1675202868
269,mecca,21.4267,39.8261,72.34,85,7,6.35,SA,1675202868
270,sao felix do xingu,-6.6447,-51.995,76.89,84,46,1.52,BR,1675202869
271,harper,4.375,-7.7169,79.63,85,5,7.7,LR,1675202869
272,warrensburg,38.7628,-93.7361,26.56,33,0,0.0,US,1675202629
273,sokolo,14.7328,-6.1219,73.8,10,91,8.99,ML,1675202870
274,san jeronimo,-11.9472,-75.2829,60.73,60,96,5.28,PE,1675202870
275,les cayes,18.2,-73.75,80.71,61,54,6.76,HT,1675202871
276,samarai,-10.6167,150.6667,81.64,78,98,4.0,PG,1675202871
277,hanzhong,33.0728,107.0303,43.7,52,3,1.72,CN,1675202871
278,evensk,61.95,159.2333,14.31,96,100,4.38,RU,1675202872
279,coahuayana,18.7333,-103.6833,84.51,51,0,7.63,MX,1675202872
280,kieta,-6.2167,155.6333,82.33,78,97,4.14,PG,1675202757
281,cidreira,-30.1811,-50.2056,77.07,83,18,6.96,BR,1675202873
282,fortuna,40.5982,-124.1573,58.93,38,0,3.0,US,1675202630
283,sampit,-2.5333,112.95,73.4,99,100,2.06,ID,1675202873
284,sorland,67.667,12.6934,31.86,62,80,13.65,NO,1675202874
285,tambun,-6.2641,107.0712,81.48,82,100,6.4,ID,1675202874
286,livingston,55.9029,-3.5226,38.48,88,20,14.97,GB,1675202875
287,nome,64.5011,-165.4064,21.16,100,100,0.0,US,1675202875
288,chapais,49.7834,-74.8492,1.04,88,100,9.28,CA,1675202875
289,port lincoln,-34.7333,135.8667,62.69,84,99,16.22,AU,1675202839
